Lambda,DC,w,N,w_c,H,alpha_param,beta,S,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.405474610964002e-07,0.4964280400777167,5.056618345436818e-07,114,2.2125386103068205e-07,1,0.8619892822054072,1.502227570762839,0,0.07193642866396165,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.696769083116567e-07,0.5061662562127751,4.858980780007086e-07,118,2.433547596439085e-07,1,0.9295747640322981,1.7301849517184849,0,0.3968193590121307,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.466668208721754e-07,0.4822335079308263,4.855048169817039e-07,93,2.0522189915348437e-07,1,0.9867609458387658,1.8836590819897845,0,0.3507247065632412,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.1271207051954575e-07,0.8455474480556125,5.039225478082307e-07,131,4.0313803824658455e-07,9,2.1755535736427905,-1.9000916138103308,7,-0.0474308690162617,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.499629515474115e-07,0.5104751212749775,4.1706980851453933e-07,119,2.0004163698999894e-07,1,1.0055502643083927,1.8743411097789604,0,0.40808053081769435,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.3404183501365918e-07,0.12289675545483042,5.03523644648161e-07,424,4.028189157185288e-07,1,2.5704477953479468,-2.2130208221241525,3,0.49790144868742753,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.951567843775974e-07,0.584446071523426,5.549325191218897e-07,475,2.954238323338768e-07,4,0.7974698649040183,-0.6610748671622977,4,0.4249578722893824,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.3799348261333015e-07,0.8814512490796059,5.439188512080131e-07,60,2.0424240526473758e-07,9,0.9393657931951724,0.8144381597975934,6,0.04802043251169754,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.8885484760385264e-07,0.4271881452506533,4.5269674021083254e-07,35,1.472016529702654e-07,14,0.7903498544199928,-2.7743697685301463,1,0.3316746991180641,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.8968886913823776e-07,0.6846241530997286,4.1443931994931664e-07,393,3.3155145595945334e-07,8,2.9248550289620194,1.1180831479278424,6,0.39676008474700464,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.804923735471394e-07,0.8041912693194881,4.7024539068773064e-07,152,3.7619631255018454e-07,5,1.7492392494708489,1.8565597443830142,2,0.48970612851596307,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.400101928985068e-07,0.17798844657762258,5.773227820123145e-07,150,1.6114194525854438e-07,8,1.1635265454598145,0.43272833182025083,7,0.42770059719141457,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.9922992827304617e-07,0.27157479779609095,4.429693015050132e-07,216,3.5437544120401054e-07,5,1.3910827108800259,1.7702399575985095,5,0.46847776683591863,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.902743049148646e-07,0.6812631511812822,4.976577709334293e-07,220,3.208971648325309e-07,2,0.34377251034916995,-0.654091153628301,5,-0.11709751401634219,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2688261837482716e-07,0.45978485461340457,4.921740125704501e-07,422,3.937392100563601e-07,4,2.650910660423565,-0.6049800442747024,5,-0.21929931369442104,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4973944946875044e-07,0.5682064685194032,5.498029212167687e-07,116,2.625247310748743e-07,1,0.9040558312642256,1.3916111436830882,0,0.42272620533963595,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0246756033321368e-07,0.6449134001316972,5.123956513389803e-07,364,1.586965942374974e-07,14,2.7583814076279727,-2.863840674579373,0,0.49045881627161325,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.2461514514008223e-07,0.15294061359534022,4.646066676491767e-07,188,3.54181747618641e-07,8,2.3413881461394594,1.6574009572673876,7,0.49664017995592824,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4923886389948084e-07,0.22545075514229254,5.901097606589598e-07,379,3.0815277040323825e-07,11,1.7586188650095986,-2.3943432949440635,6,0.48416781378091645,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.7252849930330537e-07,0.49861562864343445,5.212515639482975e-07,52,4.17001251158638e-07,5,0.9005563897223545,0.5552911589653879,3,0.36279874693788106,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.9251794870927473e-07,0.4229492830489855,5.246467278045155e-07,16,1.7940487351259644e-07,13,1.2395283768232592,2.710624399324025,5,0.45212048533302057,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
